IMG_2124908027.a_MRS2a_Contig_6790	Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Agaricomycotina;Agaricomycetes;Mrakia
IMG_3300000124.a_BS_KBA_SWE12_21mDRAFT_c10001746	Eukaryota;Obazoa;Opisthokonta;Metazoa;Arthropoda;Crustacea;Maxillopoda;Eurytemora
IMG_3300000230.a_TB_GS10_10DRAFT_10004937	Eukaryota;TSAR;Alveolata;Ciliophora;Oligohymenophorea;Apostomatia;Pseudocolliniidae;Fusiforma
IMG_3300000558.a_Draft_10047747	Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia;Euamoebida;Hartmannellidae;Copromyxa
IMG_3300000975.a_JGI11829J13087_100284	Eukaryota;Obazoa;Opisthokonta;Fungi;Basidiomycota;Ustilaginomycotina;Exobasidiomycetes;Tilletiopsis
IMG_3300001380.a_JGI1356J14229_10009744	Eukaryota;Excavata;Discoba;Discoba_X;Heterolobosea;Tetramitia_VI;Psalteriomonadidae;Sawyeria
IMG_3300001593.a_JGI12635J15846_10009458	Eukaryota;Obazoa;Opisthokonta;Metazoa;Nematoda;Enoplea;Enoplea_X;Clavicaudoides
IMG_3300001605.a_Draft_10015829	Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Suctoria_X;Suctoria_XX
IMG_3300001867.a_JGI12627J18819_10003018	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Eugregarinorida;Gregarinidae;Leidyana2
IMG_3300002042.a_LBB12012_10001907	Eukaryota;TSAR_dummy;Rhizaria_dummy;Foraminifera_dummy;Monothalamids_dummy;Monothalamids_X_dummy;Lagynidae_dummy;Nemogullmia_dummy
IMG_3300002062.a_SA2_1000898	Eukaryota;Archaeplastida;Chlorophyta;Chlorophyta_X;Ulvophyceae;Ulvales-relatives;Ulvales-relatives_X;Ulva
IMG_3300002729.a_AY690838_10000643	Eukaryota;Obazoa;Opisthokonta;Metazoa;Platyhelminthes;Turbellaria;Prolecithophora;Plagiostomum
IMG_3300002729.a_AY690838_10016086	Eukaryota;Obazoa;Opisthokonta;Metazoa;Annelida;Annelida_X;Annelida_XX;Loimia
IMG_3300003489.a_JGI26540J51217_10004459	Eukaryota;Amoebozoa;Tubulinea;Tubulinea_X;Elardia;Euamoebida;Hartmannellidae;Copromyxa
IMG_3300003830.a_Ga0051980_10007279	Eukaryota;Excavata;Discoba;Discoba_X;Heterolobosea;Tetramitia_I;Neovahlkampfiidae;Neovahlkampfia
IMG_3300003979.a_Ga0063037_102072	Eukaryota;TSAR;Alveolata;Dinoflagellata;Syndiniales;Dino-Group-II;Dino-Group-II-Clade-7;Dino-Group-II-Clade-7_X
IMG_3300005272.a_Ga0065703_1000045_1	Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Zymoseptoria
IMG_3300005435.a_Ga0070714_100011714	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida;Actinocephalidae;Hyplorynchus
IMG_3300005436.a_Ga0070713_100009497	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida;Actinocephalidae;Monocystis
IMG_3300005525.a_Ga0068877_10007917	Eukaryota;TSAR;Alveolata;Ciliophora;Phyllopharyngea;Suctoria;Tokophryidae;Tokophrya
IMG_3300005533.a_Ga0070734_10014374	Eukaryota;Obazoa;Opisthokonta;Fungi;Ascomycota;Pezizomycotina;Dothideomycetes;Dothideomycetes_X
IMG_3300005719.a_Ga0068861_100010582	Eukaryota;TSAR;Alveolata;Apicomplexa;Gregarinomorphea;Neogregarinorida;Actinocephalidae;Monocystis
